res_id,du_id
340519024,337126503
340519024,337126550
340519024,337126743
340519024,337126758
340519024,337126786
340519024,337126805
340519024,337126815
340519024,337126820
340519024,337126846
340519024,337126848
340519024,337126854
340519024,337126856
340519024,337126858
340519024,337126880
340519024,337126888
340519024,337126889
340519024,337126890
340519024,337126943
340519024,337127015
340519024,337127045
340519024,337127072
340519024,337128342
340519024,337128344
340519024,337128349
340519024,337128361
340519024,337128422
340519024,337128530
340519024,337128554
340519024,337128649
340519024,337128722
340519024,337128755
340519024,337128774
340519024,337128776
340519024,337128777
340519024,337128778
340519024,337128797
340519024,337128803
340519024,337128810
340519024,337128816
340519024,337128920
340519024,337128959
340519024,337129018
340519024,337129047
340519024,337129072
340519024,337129088
340519024,337129106
340519024,337129162
340519024,337129166
340519024,337129183
340519024,337129261
340519024,337129289
340519024,337129305
340519024,337129308
340519024,337129441
340519024,337129483
340519024,337129497
340519024,337129517
340519540,337126523
340519540,337126738
340519540,337126744
340519540,337126746
340519540,337126852
340519540,337126855
340519540,337126887
340519540,337126968
340519540,337127101
340519540,337127990
340519540,337128374
340519540,337128389
340519540,337128542
340519540,337128636
340519540,337128727
340519540,337128738
340519540,337128771
340519540,337128783
340519540,337128804
340519540,337128820
340519540,337128940
340519540,337129078
340519540,337129100
340519540,337129170
340519540,337129173
340519540,337129227
340519540,337129283
340519540,337129304
340519540,337129342
340519540,337129368
340519540,337129472
344178686,337126550
344178686,337126758
344178686,337126786
344178686,337126805
344178686,337126815
344178686,337126820
344178686,337126846
344178686,337126848
344178686,337126854
344178686,337126856
344178686,337126858
344178686,337126880
344178686,337126888
344178686,337126889
344178686,337126943
344178686,337127015
344178686,337127045
344178686,337127072
344178686,337128342
344178686,337128344
344178686,337128349
344178686,337128360
344178686,337128361
344178686,337128422
344178686,337128530
344178686,337128649
344178686,337128722
344178686,337128774
344178686,337128776
344178686,337128777
344178686,337128778
344178686,337128797
344178686,337128803
344178686,337128810
344178686,337128816
344178686,337128920
344178686,337128959
344178686,337129018
344178686,337129088
344178686,337129106
344178686,337129162
344178686,337129183
344178686,337129289
344178686,337129305
344178686,337129441
344178686,337129483
344178686,337129497
344178686,337129517
344180108,337126510
344180108,337126517
344180108,337126589
344180108,337126729
344180108,337126761
344180108,337126772
344180108,337126803
344180108,337126816
344180108,337126850
344180108,337126853
344180108,337126857
344180108,337126862
344180108,337126864
344180108,337126901
344180108,337126955
344180108,337127092
344180108,337128365
344180108,337128543
344180108,337128606
344180108,337128674
344180108,337128715
344180108,337128736
344180108,337128749
344180108,337128755
344180108,337128781
344180108,337128805
344180108,337128831
344180108,337128963
344180108,337128996
344180108,337129052
344180108,337129060
344180108,337129090
344180108,337129141
344180108,337129143
344180108,337129146
344180108,337129172
344180108,337129192
344180108,337129261
344180108,337129281
344180108,337129293
344180108,337129297
344180108,337129325
344180108,337129332
344180108,337129361
344180108,337129465
344180108,337129466
344181425,337126503
344181425,337126523
344181425,337126738
344181425,337126743
344181425,337126744
344181425,337126746
344181425,337126852
344181425,337126855
344181425,337126887
344181425,337126890
344181425,337126968
344181425,337127077
344181425,337127101
344181425,337127990
344181425,337128374
344181425,337128389
344181425,337128542
344181425,337128554
344181425,337128636
344181425,337128727
344181425,337128738
344181425,337128771
344181425,337128783
344181425,337128804
344181425,337128820
344181425,337128935
344181425,337128940
344181425,337129047
344181425,337129078
344181425,337129100
344181425,337129166
344181425,337129170
344181425,337129173
344181425,337129227
344181425,337129283
344181425,337129304
344181425,337129317
344181425,337129342
344181425,337129364
344181425,337129368
344181425,337129389
344181425,337129472
344182550,337126528
344182550,337126540
344182550,337126749
344182550,337126782
344182550,337126783
344182550,337126785
344182550,337126792
344182550,337126796
344182550,337126802
344182550,337126818
344182550,337126822
344182550,337126881
344182550,337126992
344182550,337127043
344182550,337127067
344182550,337127076
344182550,337127105
344182550,337128003
344182550,337128291
344182550,337128352
344182550,337128373
344182550,337128379
344182550,337128719
344182550,337128806
344182550,337128932
344182550,337128964
344182550,337129053
344182550,337129058
344182550,337129066
344182550,337129072
344182550,337129076
344182550,337129134
344182550,337129145
344182550,337129164
344182550,337129193
344182550,337129194
344182550,337129282
344182550,337129286
344182550,337129288
344182550,337129296
344182550,337129308
344182550,337129311
344182550,337129353
344182550,337129391
344182550,337129442
344182550,337129467
345466955,337126882
345466998,337126689
345467375,337126842
345468719,337126878
345619735,337127069
345619735,337126521
345619735,337126522
345619735,337126600
345619735,337126602
345619735,337126603
345619735,337126637
345619735,337126662
345619735,337126768
345619735,337126771
345619735,337126774
345619735,337126788
345619735,337126790
345619735,337126793
345619735,337126829
345619735,337126834
345619735,337126860
345619735,337126868
345619735,337126870
345619735,337126872
345619735,337126873
345619735,337126874
345619735,337126875
345619735,337126877
345619735,337126891
345619735,337126911
345619735,337127054
345619735,337127061
345619735,337127073
345619735,337129315
345619735,337129319
345619735,337129324
345619735,337129326
345619735,337129334
345619735,337129356
345619735,337129358
345619735,337129359
345619735,337129363
345619735,337129370
345619735,337129374
345619735,337129378
345619735,337129474
345619735,337129499
345619735,337129512
345619735,337127108
345619735,337127111
345619735,337127794
345619735,337128395
345619735,337128419
345619735,337128488
345619735,337128560
345619735,337128735
345619735,337128754
345619735,337128757
345619735,337128891
345619735,337128896
345619735,337128897
345619735,337128933
345619735,337128966
345619735,337129049
345619735,337129056
345619735,337129073
345619735,337129081
345619735,337129103
345619735,337129169
345619735,337129191
345619735,337129248
345619735,337129256
345619735,337129259
345619735,337129267
345619735,337129278
345619735,337129290
345619735,337129312
345623621,337126738
345623621,337126848
345623621,337126854
345623621,337128361
345623621,337128776
345623621,337128777
345623621,337128778
345623621,337128797
345623621,337128803
345623621,337128920
345623621,337129047
345623621,337129088
355811115,337126498
355811115,337126521
355811115,337126522
355811115,337126525
355811115,337126533
355811115,337126540
355811115,337126541
355811115,337126543
355811115,337126557
355811115,337126565
355811115,337126568
355811115,337126586
355811115,337126593
355811115,337126595
355811115,337126637
355811115,337126738
355811115,337126744
355811115,337126758
355811115,337126761
355811115,337126763
355811115,337126768
355811115,337126771
355811115,337126783
355811115,337126785
355811115,337126790
355811115,337126793
355811115,337126796
355811115,337126803
355811115,337126818
355811115,337126819
355811115,337126833
355811115,337126838
355811115,337126843
355811115,337126847
355811115,337126848
355811115,337126850
355811115,337126853
355811115,337126855
355811115,337126857
355811115,337126859
355811115,337126860
355811115,337126862
355811115,337126863
355811115,337126864
355811115,337126866
355811115,337126867
355811115,337126868
355811115,337126873
355811115,337126874
355811115,337126877
355811115,337126879
355811115,337126884
355811115,337126887
355811115,337126888
355811115,337126955
355811115,337127036
355811115,337127046
355811115,337127052
355811115,337127054
355811115,337127058
355811115,337127061
355811115,337127070
355811115,337127073
355811115,337127077
355811115,337127092
355811115,337127096
355811115,337127099
355811115,337127102
355811115,337127239
355811115,337127334
355811115,337127400
355811115,337127402
355811115,337127403
355811115,337127404
355811115,337127406
355811115,337127410
355811115,337127421
355811115,337127425
355811115,337127426
355811115,337127432
355811115,337127433
355811115,337127480
355811115,337127555
355811115,337127560
355811115,337127566
355811115,337127587
355811115,337127725
355811115,337127731
355811115,337127746
355811115,337127753
355811115,337127755
355811115,337127756
355811115,337127772
355811115,337127780
355811115,337127781
355811115,337127804
355811115,337127811
355811115,337127824
355811115,337127837
355811115,337127849
355811115,337127862
355811115,337127995
355811115,337128003
355811115,337128300
355811115,337128334
355811115,337128335
355811115,337128339
355811115,337128340
355811115,337128343
355811115,337128353
355811115,337128356
355811115,337128361
355811115,337128365
355811115,337128367
355811115,337128373
355811115,337128375
355811115,337128386
355811115,337128395
355811115,337128398
355811115,337128421
355811115,337128422
355811115,337128430
355811115,337128454
355811115,337128469
355811115,337128477
355811115,337128480
355811115,337128501
355811115,337128504
355811115,337128508
355811115,337128509
355811115,337128524
355811115,337128531
355811115,337128532
355811115,337128535
355811115,337128541
355811115,337128544
355811115,337128557
355811115,337128560
355811115,337128561
355811115,337128563
355811115,337128572
355811115,337128574
355811115,337128586
355811115,337128636
355811115,337128715
355811115,337128722
355811115,337128731
355811115,337128739
355811115,337128750
355811115,337128751
355811115,337128752
355811115,337128753
355811115,337128755
355811115,337128771
355811115,337128774
355811115,337128775
355811115,337128777
355811115,337128780
355811115,337128781
355811115,337128782
355811115,337128783
355811115,337128785
355811115,337128793
355811115,337128796
355811115,337128797
355811115,337128805
355811115,337128806
355811115,337128809
355811115,337128814
355811115,337128817
355811115,337128820
355811115,337128878
355811115,337128882
355811115,337128890
355811115,337128891
355811115,337128895
355811115,337128896
355811115,337128897
355811115,337128907
355811115,337128911
355811115,337128920
355811115,337128923
355811115,337128931
355811115,337128962
355811115,337128963
355811115,337128964
355811115,337128965
355811115,337128967
355811115,337128975
355811115,337128986
355811115,337128996
355811115,337129030
355811115,337129047
355811115,337129056
355811115,337129057
355811115,337129059
355811115,337129062
355811115,337129063
355811115,337129066
355811115,337129071
355811115,337129076
355811115,337129078
355811115,337129085
355811115,337129086
355811115,337129088
355811115,337129089
355811115,337129098
355811115,337129120
355811115,337129125
355811115,337129126
355811115,337129128
355811115,337129145
355811115,337129147
355811115,337129169
355811115,337129170
355811115,337129250
355811115,337129251
355811115,337129253
355811115,337129254
355811115,337129259
355811115,337129260
355811115,337129261
355811115,337129267
355811115,337129268
355811115,337129271
355811115,337129274
355811115,337129276
355811115,337129280
355811115,337129308
355811115,337129309
355811115,337129312
355811115,337129317
355811115,337129318
355811115,337129325
355811115,337129326
355811115,337129332
355811115,337129333
355811115,337129340
355811115,337129342
355811115,337129351
355811115,337129355
355811115,337129357
355811115,337129381
355811115,337129382
355811115,337129390
355811115,337129398
355811115,337129414
355811115,337129424
355811115,337129442
355811115,337129445
355811115,337129451
355811115,337129461
355811115,337129463
355811115,337129466
355811115,337129467
355811115,337129468
355811115,337129477
355811115,337129498
356051465,337129327
356051804,337129148
356054528,337126844
356054679,337128754
356205005,337129503
356205005,337129502
356205005,337129501
356205005,337129500
356205005,337129499
356205005,337129498
356205005,337129497
356205005,337129496
356205005,337129495
356205005,337129494
356205005,337129493
356205005,337129492
356205005,337129491
356205005,337129490
356205005,337129489
